orig_column_index,raw_column,Question Number,Question,Working_Column_Name,Rename_old,Important for Analysis,Section,Sub-Section
0,Start Date,,,,,,SKIP,SKIP
1,End Date,,,,,,SKIP,SKIP
2,Response Type,,,,,,SKIP,SKIP
3,IP Address,,,,,,SKIP,SKIP
4,Progress,,,,,,SKIP,SKIP
5,Duration (in seconds),,,,,,SKIP,SKIP
6,Finished,,,Finished,,,Metadata,General
7,Recorded Date,,,Recorded Date,,,Metadata,General
8,Response ID,,,Response ID,,,KEY,KEY
9,Recipient Last Name,,,,,,SKIP,SKIP
10,Recipient First Name,,,,,,SKIP,SKIP
11,Recipient Email,,,,,,SKIP,SKIP
12,External Data Reference,,,,,,SKIP,SKIP
13,Location Latitude,,,,,,SKIP,SKIP
14,Location Longitude,,,,,,SKIP,SKIP
15,Distribution Channel,,,,,,SKIP,SKIP
16,User Language,,,,,,SKIP,SKIP
